sharkipedia_method,sharkipedia_model,best_eea_match,match_score,match_type
Back calculated,,Trophic Position Calculation,0.465,none
Captive observation,,Reproductive observations,0.773,fuzzy
Derived,,Ddpcr Edna,0.471,none
Directly observed,,Drone Observation,0.588,none
Empirical,,Genomics,0.471,none
Free + Embryo,,Genome Assembly,0.5,none
Histological observation,,Behavioural Observation,0.723,fuzzy
L95 (95th percentile of size distribution observed),,Species Distribution Model,0.545,none
Largest embryo,,Acoustic Telemetry,0.5,none
Length-Frequency,,Length Frequency Analysis,0.78,fuzzy
Macroscopic dissection,,Cross-Validation,0.526,none
Macroscopic observation,,Drone Observation,0.7,fuzzy
Mark-Recapture,,Close Kin Mark Recapture,0.737,fuzzy
Max observed size,,Time Series,0.5,none
Modeled,,Food Web Models,0.455,none
Proportion gravid females,,Population Genetics,0.5,none
Smallest free swimming individual,,Post-Release Survival,0.444,none
Spines,,SNPs,0.6,fuzzy
Vertebrae,,Vertebral Sectioning,0.621,fuzzy
Vertebrae - Spine - Tooth Plate,,Vertebral Sectioning,0.471,none
,Back calculated,Trophic Position Calculation,0.465,none
,Directly from growth curves,Growth Curve Modeling,0.5,none
,Fabens,Maxent,0.5,none
,Generation length calculation,Trophic Position Calculation,0.596,none
,Gomp ML,Gam Sdm,0.571,none
,Length-Length,Length Based Methods,0.606,fuzzy
,Length-Weight,Length Based Methods,0.545,none
,Logistic,Cognition,0.588,none
,Observational,Drone Observation,0.733,fuzzy
,Other,Blood Chemistry,0.4,none
,VBFG2 ML,Gam Sdm,0.4,none
,VBFG3 ML,Gam Sdm,0.4,none
