"Sheet","Guuske_ID","Year","Authors","Title","DOI","OA_Status"
"MISLABELLING","Row 18",2001,"Smith, PJ; Benson, PG","Biochemical identification of shark fins and fillets from the coastal fisheries in New Zealand","",""
"MISLABELLING","Row 35",2016,"Clarke, TM; Espinoza, M; Ahrens, R; Wehrtmann, IS","Elasmobranch bycatch associated with the shrimp trawl fishery off the Pacific coast of Costa Rica, Central America","10.7755/FB.114.1","gold"
"MISLABELLING","Row 54",2018,"Fields, AT; Fischer, GA; Shea, SKH; Zhang, HR; Abercrombie, DL; Feldheim, KA; Babcock, EA; Chapman, DD","Species composition of the international shark fin trade assessed through a retail-market survey in Hong Kong","10.1111/cobi.13043","hybrid"
"MISLABELLING","Row 65",2018,"Bunholi I.V., Ferrette B.L.D.S., De Biasi J.B., Magalhães C.D.O., Rotundo M.M., Oliveira C., Foresti F., Mendonça F.F.","The fishing and illegal trade of the angelshark: DNA barcoding against misleading identifications","10.1016/j.fishres.2018.05.018","bronze"
"MISLABELLING","Row 44",2021,"Villate-Moreno, M; Pollerspock, J; Kremer-Obrock, F; Straube, N","Molecular analyses of confiscated shark fins reveal shortcomings of CITES implementations in Germany","10.1111/csp2.398","gold"
"MISLABELLING","Row 56",2021,"Giovos, I; Spyridopoulou, RNA; Doumpas, N; Glaus, K; Kleitou, P; Kazlari, Z; Katsada, D; Loukovitis, D; Mantzouni, I; Papapetrou, M; Papastamatiou, YP; Moutopoulos, DK","Approaching the real state of elasmobranch fisheries and trade: A case study from the Mediterranean","10.1016/j.ocecoaman.2021.105743","closed"
"MISLABELLING","Row 73",2021,"Choo, M.Y., Choy, C.P.P., Ip, Y.C.A., Rao, M. and Huang, D.,","Diversity and origins of giant guitarfish and wedgefish products in Singapore","10.1002/aqc.3553","gold"
"MISLABELLING","Row 76",2023,"Klangnurak, W; Arunrugstichai, S; Manopawitr, P; Krajangdara, T","DNA-based species identification of shark fins traded in thai markets","10.1007/s10592-023-01519-0","bronze"
"MISLABELLING","Row 77",2023,"Alfaro-Cordova, E; Canedo-Apolaya, RM; Alfaro-Shigueto, J; Mangel, JC; Carrillo, O; Sarmiento, D; Velez-Zuazo, X","Is what you see what you get? Assessing external morphological identification of devil rays captured by small-scale fisheries in northern Peru using DNA barcoding","10.1007/s12686-023-01306-6","closed"
"MISLABELLING","Row 78",2023,"Sharrad, AE; Reis-Santos, P; Austin, J; Gillanders, BM","Umbrella terms conceal the sale of threatened shark species: A DNA barcoding approach","10.1016/j.foodcont.2023.109606","closed"
"MISLABELLING","Row 80",2023,"Prasetyo, A.P., Murray, J.M., Kurniawan, M.F.A., Sales, N.G., McDevitt, A.D. and Mariani, S","Shark‐dust: Application of high‐throughput DNA sequencing of processing residues for trade monitoring of threatened sharks and rays","10.1111/conl.12971","gold"
"MISLABELLING","Row 82",2023,"Khali, A.M., Gainsford, A. and van Herwerden, L.","DNA barcoding of fresh seafood in Australian markets reveals misleading labelling and sale of endangered species","10.1111/jfb.15308","hybrid"
"POLLUTANTS","25",2016,"Nicolaus et al","Concentrations of mercury and other trace elements in porbeagle shark lamna nasus","10.1016/j.marpolbul.2016.07.047","hybrid"
